,mixture,mixture_dist,area,area_dist,dist,k_3,k_5,k_10
Moran I Over All Days and Times,0.299247020778,0.289208850579,0.0442017223242,0.0471733322734,-0.00240661775042,0.0446033195632,0.0177889755249,0.00246233560601
Significant One Sided P Value Percentage Average Over All Days And Times,100.0,100.0,91.4138888889,92.5893055556,3.59375,13.7419444444,6.8725,3.68027777778
Significant Two Sided P Value Percentage Average Over All Days And Times,100.0,99.8931944444,89.3890277778,90.8934722222,1.89972222222,9.26986111111,4.21444444444,2.43638888889
