,8,9,10,11,12,13,14,15,16,17,Average Daily
Monday,73.9,76.5,83.3,84.4,86.9,87.7,85.0,83.8,83.8,82.7,82.8
Tuesday,73.4,81.3,85.9,88.0,90.7,86.7,85.5,88.2,83.5,84.7,84.79
Wednesday,75.8,81.4,86.8,90.4,90.1,87.5,86.9,87.6,87.3,86.8,86.06
Thursday,74.9,80.1,84.3,85.2,88.9,87.7,87.7,87.4,86.6,85.0,84.78
Friday,76.2,81.4,85.9,85.2,89.8,85.6,84.3,87.1,84.9,82.8,84.32
Saturday,61.0,68.5,75.1,76.8,80.2,79.4,80.9,77.9,77.9,77.8,75.55
Average Hourly,72.5333333333,78.2,83.55,85.0,87.7666666667,85.7666666667,85.05,85.3333333333,84.0,83.3,
