,mixture,mixture_dist,area,area_dist,dist,k_3,k_5,k_10
Moran I Over All Days and Times,0.285500523248,0.288341653541,0.0193262038625,0.0301593919374,-0.00206957340619,0.222704765415,0.214790025989,0.186343420228
Significant One Sided P Value Percentage Average Over All Days And Times,100.0,100.0,61.4926388889,83.1495833333,24.7188888889,97.5456944444,99.7863888889,99.7863888889
Significant Two Sided P Value Percentage Average Over All Days And Times,100.0,100.0,59.7770833333,80.3154166667,22.2145833333,95.4751388889,99.4647222222,99.3502777778
