,mixture,mixture_dist,area,area_dist,dist,k_3,k_5,k_10
Moran I Over All Days and Times,0.255006378459,0.250204971245,0.0496547112363,0.0530204603268,-0.00300145509846,0.0120585756766,0.00107655678048,0.00389785700483
Significant One Sided P Value Percentage Average Over All Days And Times,97.4186666667,97.1158333333,88.922,89.5841666667,2.94483333333,2.033,1.19633333333,3.90583333333
Significant Two Sided P Value Percentage Average Over All Days And Times,97.2903333333,97.1158333333,87.3725,88.5476666667,2.432,0.626666666667,0.754833333333,1.684
