,mixture,mixture_dist,area,area_dist,dist,k_3,k_5,k_10
Moran I Over All Days and Times,0.239316487445,0.234833312584,0.0124650853757,0.0200650195159,-0.00133171959226,0.14739064054,0.14058034379,0.12697918869
Significant One Sided P Value Percentage Average Over All Days And Times,99.0972222222,99.0972222222,53.6805555556,71.3194444444,37.6388888889,72.2222222222,84.4444444444,95.0
Significant Two Sided P Value Percentage Average Over All Days And Times,99.0972222222,99.0972222222,53.3333333333,66.5972222222,33.8194444444,64.5833333333,81.8055555556,93.4027777778
