,8,9,10,11,12,13,14,15,16,17,Average Daily
Monday,67.0,71.3,73.5,80.2,86.5,75.4,77.1,71.3,72.1,70.8,74.52
Tuesday,72.6,83.5,84.8,88.7,88.5,89.2,87.5,86.5,82.7,83.7,84.77
Wednesday,73.1,83.4,83.2,85.7,88.1,85.4,87.1,86.7,85.2,84.8,84.27
Thursday,74.3,82.7,85.5,89.7,90.1,85.5,84.3,88.1,87.1,86.0,85.33
Friday,79.1,82.3,85.5,84.9,88.2,88.5,87.4,85.4,82.9,83.0,84.72
Saturday,61.7,66.1,75.1,81.6,82.2,81.7,84.2,83.2,81.4,81.1,77.83
Average Hourly,71.3,78.2166666667,81.2666666667,85.1333333333,87.2666666667,84.2833333333,84.6,83.5333333333,81.9,81.5666666667,
