PayStationBlockfaceId,ElementKey,ParkingSpaces,PaidParkingArea,ParkingTimeLimitCategory,PeakHourStart1,PeakHourEnd1,PeakHourStart2,PeakHourEnd2,PeakHourStart3,PeakHourEnd3,PaidAreaStartTime,PaidAreaEndTime,EffectiveStartDate,EffectiveEndDate,PaidParkingRate,ParkingCategory,Load,Zone,WeekdayRate1,WeekdayStart1,WeekdayEnd1,WeekdayRate2,WeekdayStart2,WeekdayEnd2,WeekdayRate3,WeekdayStart3,WeekdayEnd3,StartTimeWeekday,EndTimeWeekday,SaturdayRate1,SaturdayStart1,SaturdayEnd1,SaturdayRate2,SaturdayStart2,SaturdayEnd2,SaturdayRate3,SaturdayStart3,SaturdayEnd3,StartTimeSaturday,EndTimeSaturday,  SundayRate1,SundayStart1,SundayEnd1,SundayRate2,SundayStart2,SundayEnd2,SundayRate3,SundayStart3,SundayEnd3,StartTimeSunday,EndTimeSunday
12247,56142,0,Uptown Triangle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,08AM,06PM,04-JUL-17,NULL,NULL,No Parking Allowed,0,0,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12248,58441,0,Uptown Triangle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,08AM,06PM,04-JUL-17,NULL,NULL,No Parking Allowed,0,0,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12249,53134,7,Uptown Triangle,600,NULL,NULL,NULL,NULL,NULL,NULL,08AM,06PM,04-JUL-17,NULL,NULL,Paid Parking,1,1,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12250,79022,6,Uptown Triangle,600,NULL,NULL,NULL,NULL,NULL,NULL,08AM,06PM,04-JUL-17,NULL,NULL,Paid Parking,0,0,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12251,56141,0,Uptown Triangle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,08AM,06PM,04-JUL-17,NULL,NULL,No Parking Allowed,0,0,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12252,49650,6,Belltown,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,1,1,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10559,51493,5,NULL,240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
12253,51493,5,Uptown Triangle,240,NULL,NULL,NULL,NULL,NULL,NULL,08AM,06PM,04-JUL-17,NULL,NULL,Paid Parking,0,0,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12254,11134,3,Uptown Triangle,240,NULL,NULL,NULL,NULL,NULL,NULL,08AM,06PM,04-JUL-17,NULL,NULL,Paid Parking,0,1,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12255,33742,8,Uptown Triangle,240,NULL,NULL,NULL,NULL,NULL,NULL,08AM,06PM,04-JUL-17,NULL,NULL,Paid Parking,0,0,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,1.5,480,659,1.5,660,1079,NULL,NULL,NULL,08AM,06PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12256,9358,3,Belltown,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,0,0,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12257,19482,10,Ballard,240,NULL,NULL,NULL,NULL,NULL,NULL,08AM,06PM,04-JUL-17,NULL,NULL,Paid Parking,1,1,1,480,659,1,660,1079,NULL,NULL,NULL,08AM,06PM,1,480,659,1,660,1079,NULL,NULL,NULL,08AM,06PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12258,72325,0,Belltown,30,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,2,1,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12259,49649,11,Belltown,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,1,1,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10566,13213,14,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
12260,13213,14,University District,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,0,0,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12261,63130,8,University District,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,0,0,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12262,39486,6,University District,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,0,0,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12263,47225,6,University District,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,1,0,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12264,35845,17,University District,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,1,0,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12265,16942,8,University District,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,1,0,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12266,84653,6,University District,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,1,0,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12267,2085,5,University District,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,0,1,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12268,84654,4,University District,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,2,0,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12269,81210,9,University District,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,1,0,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,2.5,480,659,2.5,660,1019,2.5,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12230,85386,3,Green Lake,120,NULL,NULL,NULL,NULL,NULL,NULL,08AM,08PM,04-JUL-17,NULL,NULL,Paid Parking,1,1,1,480,659,1,660,1019,1,1020,1199,08AM,08PM,1,480,659,1,660,1019,1,1020,1199,08AM,08PM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11592,75149,4,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,1,2,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11593,70730,3,NULL,120,06:00:00,09:00:00,15:00:00,19:00:00,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,1,1,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11594,36358,1,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11595,36357,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,No Parking Allowed,0,1,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11596,58393,3,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,1,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11597,77613,5,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,1,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11598,79654,9,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11599,47961,4,NULL,30,06:00:00,09:00:00,15:00:00,19:00:00,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,1,1,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11600,32126,10,NULL,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11601,60013,4,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11602,53433,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,No Parking Allowed,1,1,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11603,134101,9,NULL,240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,2,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11604,24833,8,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,1,2,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11605,60014,4,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11606,37190,3,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11607,14702,7,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11608,70741,2,NULL,120,06:00:00,09:00:00,15:00:00,19:00:00,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11609,85382,7,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11610,1590,9,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,2,1,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11611,1589,10,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,2,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11612,37189,6,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Restricted Parking Zone,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
11613,17614,4,NULL,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,02-JUL-17,03-JUL-17,NULL,Paid Parking,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL
