OBJECTID,Shape,COMPKEY,ELMNTKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,MEASDIST,RECEIPT_NBR,PANDD_NBR,PANDD_NBR_START,MODEL,PAIDAREA,SUBAREA,SIDE,CONDITION,OWNERSHIP,CURRENT_STATUS,PERSO_NBR,PAY_BY_PHONE,WIRELESS_CARRIER,MODEM,CARD_READER,CATEGORY,PS_CONFIGURATION,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,WKD_RATE1,WKD_START1,WKD_END1,WKD_RATE2,WKD_START2,WKD_END2,WKD_RATE3,WKD_START3,WKD_END3,SAT_RATE1,SAT_START1,SAT_END1,SAT_RATE2,SAT_START2,SAT_END2,SAT_RATE3,SAT_START3,SAT_END3,SUN_RATE1,SUN_START1,SUN_END1,SUN_RATE2,SUN_START2,SUN_END2,SUN_RATE3,SUN_START3,SUN_END3,START_TIME_WKD,END_TIME_WKD,START_TIME_SAT,END_TIME_SAT,START_TIME_SUN,END_TIME_SUN,PEAK_HOUR,SHAPE_LNG,SHAPE_LAT
28,"(47.65591202600007, -122.31261506199996)",529828,63130,109,17989,162,-25,PSL-L119,PSL,NE CAMPUS EB PY 0140 BLOCK S SIDE ( 141) 141 FT E/O UNIVERSITY WAY NE (NECP-14-13)                                                                                                                                                                             ,141,L119,12119002,12119,STELIO,University District,Core,S,GOOD,SDOT,INSVC,1354,86679,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.31261506304601,47.655912025518802
29,"(47.65709318200004, -122.31428823899995)",529784,54766,109,9479,90,-26.5,PSL-L004,PSL,BROOKLYN AVE NE 0410 BLOCK E SIDE (  82) 82 FT N/O NE 41ST ST (NEBN-41-06)                                                                                                                                                                                     ,82,L004,12004002,12004,STELIO,University District,Core,E,GOOD,SDOT,INSVC,1354,87946,ATT,3G,M500,DISPLAY,,DISTRICT4, ,N,,2.5,480,659,2.5,660,1019,2.5,1020,1199,2.5,480,659,2.5,660,1019,2.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.314288240571997,47.657093181189595
30,"(47.61511158300004, -122.34834377799996)",282382,13345,109,13355,180,25,PSL-J273,PSL,WALL ST 0010 BLOCK NW SIDE ( 155) 155 FT NE/O 1ST AVE (25-01-12)                                                                                                                                                                                               ,155,J273,10273004,10273,MS1,Belltown,North,NW,GOOD,SDOT,INSVC,1653,86208,T-MOBILE,3G, ,DISPLAY,13839,DISTRICT7, ,N,,1,480,659,1.5,660,1019,1.5,1020,1199,1,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.348343779279006,47.615111582457097
31,"(47.624865906000025, -122.35291949099997)",285800,2797,109,2775,107,32,PSL-S079,PSL,2ND AVE N 0060 BLOCK W SIDE (  86) 86 FT N/O MERCER ST (N02-06-05)                                                                                                                                                                                             ,86,S079,17079004,17079,STELIO,Uptown,Edge,W,GOOD,SDOT,INSVC,1653,88163,ATT,3G,M500,DISPLAY,,DISTRICT7, ,N,,1.5,480,659,1.5,660,1019,1.5,1020,1199,1.5,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.352919492045004,47.624865904626297
32,"(47.61118849800005, -122.322873072)",529761,80842,109,12872,187,-26,PSL-H058,PSL,SPRING ST 0130 BLOCK SE SIDE ( 168) 168 FT NE/O SUMMIT AVE (11-13-15)                                                                                                                                                                                          ,168,H058,8058002,8058,MS1,First Hill,,SE,GOOD,SDOT,INSVC,1331,87389,T-MOBILE,3G, ,DISPLAY,13235,DISTRICT3, ,N,,4.5,480,659,4.5,660,1019,4.5,1020,1199,4.5,480,659,4.5,660,1019,4.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.322873074092996,47.611188497254496
33,"(47.61416326400007, -122.32654139699997)",574955,37129,109,14594,69,28,PSL-G083,PSL,E PIKE ST 0040 BLOCK N SIDE (  47) 47 FT E/O BELLEVUE AVE (E15-04-02)                                                                                                                                                                                          ,47,G083,7083002,7083,MS1,Pike-Pine,,N,GOOD,SDOT,INSVC,1355,87272,T-MOBILE,3G, ,DISPLAY,14210,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.326541398207013,47.614163262800901
34,"(47.669123839000065, -122.38486562199995)",281917,3341,109,3280,163,30,PSL-K052,PSL,22ND AVE NW 0550 BLOCK W SIDE ( 142) 142 FT N/O NW MARKET ST (NW22-55-09)                                                                                                                                                                                      ,142,K052,11052002,11052,STELIO,Ballard,Core,W,GOOD,SDOT,INSVC,1320,86221,T-MOBILE,2G,M500,DISPLAY,,DISTRICT6, ,N,,2,480,659,2,660,1019,2,1020,1199,2,480,659,2,660,1019,2,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.384865623326007,47.669123838115496
35,"(47.62319627200003, -122.35578708299994)",282272,57862,109,12553,231,-28,PSL-S023,PSL,REPUBLICAN ST 0009 BLOCK S SIDE ( 211) 211 FT E/O QUEEN ANNE AVE N (N5-00-17)                                                                                                                                                                                  ,211,S023,17023002,17023,STELIO,Uptown,Core,S,GOOD,SDOT,INSVC,1654,87213,ATT,3G,M500,DISPLAY,,DISTRICT7, ,N,,1.5,480,659,1.5,660,1019,1.5,1020,1199,1.5,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.355787084325002,47.623196271079699
36,"(47.61401708000005, -122.31745680899996)",279462,14678,109,14602,169,-30,PSL-G061,PSL,E PIKE ST 0110 BLOCK S SIDE ( 152) 152 FT E/O 11TH AVE (E15-11-13/15)                                                                                                                                                                                          ,152,G061,7061002,7061,MS1,Pike-Pine,,S,GOOD,SDOT,INSVC,1355,86905,T-MOBILE,3G, ,DISPLAY,14210,DISTRICT3, ,N,,2.5,480,659,3,660,1019,3.5,1020,1199,2.5,480,659,3,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.317456810191004,47.614017079241798
37,"(47.622228103000054, -122.33832038399999)",337433,81494,109,13535,68.5,-33,PSL-U102,PSL,WESTLAKE AVE N 0040 BLOCK E SIDE (  48) 48 FT N/O HARRISON ST (NX4-04-04)                                                                                                                                                                                      ,48,U102,19102002,19102,REV1,South Lake Union,South,E,GOOD,SDOT,INSVC,1646,87817,T-MOBILE,3G, ,DISPLAY,14460,DISTRICT7, ,N,,2.5,480,659,2.5,660,1079,,,,2.5,480,659,2.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.338320384870002,47.622228101770901
