OBJECTID,Shape,COMPKEY,ELMNTKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,MEASDIST,RECEIPT_NBR,PANDD_NBR,PANDD_NBR_START,MODEL,PAIDAREA,SUBAREA,SIDE,CONDITION,OWNERSHIP,CURRENT_STATUS,PERSO_NBR,PAY_BY_PHONE,WIRELESS_CARRIER,MODEM,CARD_READER,CATEGORY,PS_CONFIGURATION,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,WKD_RATE1,WKD_START1,WKD_END1,WKD_RATE2,WKD_START2,WKD_END2,WKD_RATE3,WKD_START3,WKD_END3,SAT_RATE1,SAT_START1,SAT_END1,SAT_RATE2,SAT_START2,SAT_END2,SAT_RATE3,SAT_START3,SAT_END3,SUN_RATE1,SUN_START1,SUN_END1,SUN_RATE2,SUN_START2,SUN_END2,SUN_RATE3,SUN_START3,SUN_END3,START_TIME_WKD,END_TIME_WKD,START_TIME_SAT,END_TIME_SAT,START_TIME_SUN,END_TIME_SUN,PEAK_HOUR,SHAPE_LNG,SHAPE_LAT
38,"(47.59929105700007, -122.32436791799995)",280832,42961,109,20490,170,37,PSL-M007,PSL,S JACKSON ST 0065 BLOCK N SIDE ( 154) 154 FT E/O MAYNARD AVE S (S4-06-62)                                                                                                                                                                                      ,154,M007,13007002,13007,MS1,Chinatown/ID,Edge,N,GOOD,SDOT,INSVC,1110,86930,T-MOBILE,3G, ,DISPLAY,13011,DISTRICT2, ,N,,0.5,480,659,1.5,660,1019,1.5,1020,1199,0.5,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.324367918890005,47.599291056736902
39,"(47.606211666000036, -122.32774418399998)",528337,77618,109,9733,142.5,-20,PSL-H122,PSL,COLUMBIA ST 0070 BLOCK SE SIDE ( 119) 119 FT NE/O 7TH AVE (8-07-11a)                                                                                                                                                                                           ,119,H122,8122002,8122,MS1,First Hill,,SE,GOOD,SDOT,INSVC,1331,86737,T-MOBILE,3G, ,DISPLAY,13235,DISTRICT3, ,N,,4.5,480,659,4.5,660,1019,4.5,1020,1199,4.5,480,659,4.5,660,1019,4.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.327744185781,47.606211664930292
40,"(47.62381637400006, -122.34253448099997)",338499,55377,109,10075,216.5,44,PSL-U304,PSL,DEXTER AVE N 0050 BLOCK W SIDE ( 199) 199 FT N/O REPUBLICAN ST (NDR-05-19)                                                                                                                                                                                     ,199,U304,19304002,19304,REV1,South Lake Union,South,W,GOOD,SDOT,INSVC,1646,87903,T-MOBILE,3G, ,DISPLAY,14460,DISTRICT7, ,N,,2.5,480,659,2.5,660,1079,,,,2.5,480,659,2.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.342534482597003,47.623816372445397
41,"(47.62034192900006, -122.34772753099998)",507407,75173,109,7251,220,30,PSL-S140,PSL,5TH AVE N 0020 BLOCK W SIDE ( 202) 202 FT N/O JOHN ST (N05-02-15)                                                                                                                                                                                              ,202,S140,17140004,17140,STRADA,Uptown Triangle,,W,GOOD,SDOT,INSVC,2191,88221,T-MOBILE,2G,M900,DISPLAY,,DISTRICT7, ,N,,1.5,480,659,1.5,660,1079,,,,1.5,480,659,1.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.347727533067001,47.620341927961299
42,"(47.59872061800007, -122.32497200999995)",281108,79674,109,11700,172,21,PSL-M042,PSL,MAYNARD AVE S 0040 BLOCK E SIDE ( 150) 150 FT S/O S JACKSON ST (SMD-04-12)                                                                                                                                                                                     ,150,M042,13042002,13042,MS1,Chinatown/ID,Edge,E,GOOD,SDOT,INSVC,1110,86732,T-MOBILE,3G, ,DISPLAY,13011,DISTRICT2, ,N,,0.5,480,659,1.5,660,1019,1.5,1020,1199,0.5,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.324972011916003,47.598720616574901
43,"(47.60011875500004, -122.32569026599998)",280966,88773,109,20734,165,32,PSL-M026,PSL,S MAIN ST 0060 BLOCK N SIDE ( 145) 145 FT E/O 6TH AVE S (S3-06-14)                                                                                                                                                                                             ,145,M026,13026002,13026,MS1,Chinatown/ID,Edge,N,GOOD,SDOT,INSVC,1110,87308,T-MOBILE,3G, ,DISPLAY,13011,DISTRICT2, ,N,,0.5,480,659,1.5,660,1019,1.5,1020,1199,0.5,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.325690267131009,47.600118754268294
44,"(47.62377691200004, -122.33311735999996)",336838,57197,109,11889,241.5,28,PSL-U111,PSL,MINOR AVE N 0050 BLOCK W SIDE ( 220) 220 FT N/O REPUBLICAN ST (NMR-05-11)                                                                                                                                                                                      ,220,U111,19111010,19111,STRADA,South Lake Union,South,W,GOOD,SDOT,INSVC,2160,87785,T-MOBILE,3G,M900,DISPLAY,14461,DISTRICT7, ,N,,2.5,480,659,2.5,660,1079,,,,2.5,480,659,2.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.333117361429004,47.623776911349601
45,"(47.62297150900008, -122.33700633499996)",519639,58422,109,13121,342,-34,PSL-U353,PSL,TERRY AVE N 0040 BLOCK E SIDE ( 329) 329 FT N/O HARRISON ST (NTY-04-32)                                                                                                                                                                                        ,329,U353,19353002,19353,REV1,South Lake Union,South,E,GOOD,SDOT,INSVC,1646,87862,T-MOBILE,3G, ,DISPLAY,14460,DISTRICT7, ,N,,2.5,480,659,2.5,660,1079,,,,2.5,480,659,2.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.337006336834008,47.622971508400099
46,"(47.66952595300006, -122.38515574099995)",279724,86449,109,18464,102,-26,PSL-K038,PSL,NW 56TH ST 0220 BLOCK N SIDE (  83) 83 FT W/O 22ND AVE NW (NW56-22-04)                                                                                                                                                                                         ,83,K038,11038004,11038,STELIO,Ballard,Edge,N,GOOD,SDOT,INSVC,1737,87312,ATT,3G,M500,DISPLAY,,DISTRICT6, ,N,,1,480,659,1,660,1079,,,,1,480,659,1,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.385155741652014,47.669525951437002
47,"(47.61982102500008, -122.34442901699998)",351756,79021,109,11074,143,34,PSL-S149,PSL,JOHN ST 0060 BLOCK N SIDE ( 112) 112 FT E/O 6TH AVE N (N2-06-08)                                                                                                                                                                                               ,112,S149,17149010,17149,STRADA,Uptown Triangle,,N,GOOD,SDOT,INSVC,1241,87586,T-MOBILE,2G,M900,DISPLAY,,DISTRICT7, ,N,,1.5,480,659,1.5,660,1079,,,,1.5,480,659,1.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.344429019023011,47.619821023964093
48,"(47.61789829700007, -122.34841041399994)",282134,28961,109,6144,94,32,PSL-J254,PSL,4TH AVE 0270 BLOCK SW SIDE (  73) 73 FT NW/O CEDAR ST (04-27-05)                                                                                                                                                                                               ,73,J254,10254004,10254,MS1,Belltown,North,SW,GOOD,SDOT,INSVC,1653,86413,T-MOBILE,3G, ,DISPLAY, 13839,DISTRICT7, ,N,,1,480,659,1.5,660,1019,1.5,1020,1199,1,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.348410415323016,47.617898295966
49,"(47.63635291000003, -122.34010130899998)",337135,120200,109,334887,421,-26,PSL-T013,PSL,WESTLAKE EAST RDWY AVE N 0180 BLOCK E SIDE ( 421) 421 FT N/O HOWE ST (NXE4-18-253)                                                                                                                                                                             ,421,T013,18013007,18013,EVO,Westlake Ave N,,E,GOOD,SDOT,INSVC,2413,88162,T-MOBILE,3G,M900,SPACE,,DISTRICT7, ,N,,1,540,659,1,660,959,,,,,,,,,,,,,,,,,,,,,,09AM,04PM,,,,,,-122.340101310475006,47.636352909205392
50,"(47.60276507100008, -122.32882846899997)",274423,11118,109,11062,219,-30,PSL-D013,PSL,JEFFERSON ST 0040 BLOCK SE SIDE ( 196) 196 FT NE/O 4TH AVE (5-04-29)                                                                                                                                                                                           ,196,D013,4013002,4013,MS1,Commercial Core,Financial,SE,GOOD,SDOT,INSVC,1331,86979,T-MOBILE,3G, ,DISPLAY,14688,DISTRICT7, ,N,,4,480,659,4.5,660,1019,3.5,1020,1199,4,480,659,4.5,660,1019,3.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.328828470044002,47.602765070646598
51,"(47.609926589000054, -122.32627597599998)",529745,58193,109,12869,197,24,PSL-H024,PSL,SPRING ST 0100 BLOCK NW SIDE ( 197) 197 FT NE/O TERRY AVE (11-10-14)                                                                                                                                                                                           ,197,H024,8024002,8024,MS1,First Hill,,NW,GOOD,SDOT,INSVC,1331,86906,T-MOBILE,3G, ,DISPLAY,13235,DISTRICT3, ,N,,4.5,480,659,4.5,660,1019,4.5,1020,1199,4.5,480,659,4.5,660,1019,4.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.326275977416003,47.609926587986294
52,"(47.61489462800006, -122.34732031199997)",540158,70753,109,2765,89,36,PSL-J501,PSL,2ND AVE 0240 BLOCK SW SIDE (  75) 75 FT NW/O BATTERY ST (02-24-07)                                                                                                                                                                                             ,75,J501,10501004,10501,MS1,Belltown,North,SW,GOOD,SDOT,INSVC,2193_NP3-6,86581,T-MOBILE,3G, ,DISPLAY,13840,DISTRICT7, ,N,,1,480,659,1.5,660,1019,1.5,1020,1199,1,480,659,1.5,660,1019,1.5,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.347320314194008,47.614894627395898
53,"(47.61890668700005, -122.33310510099994)",485870,11881,109,11885,144,32,PSL-U343,PSL,MINOR AVE N 0010 BLOCK W SIDE ( 122) 122 FT N/O DENNY WAY (NMR-01-11)                                                                                                                                                                                          ,122,U343,19343010,19343,STRADA,South Lake Union,South,W,GOOD,SDOT,INSVC,2160,87725,T-MOBILE,2G,M900,DISPLAY,,DISTRICT7, ,N,,2.5,480,659,2.5,660,1079,,,,2.5,480,659,2.5,660,1079,,,,,,,,,,,,,08AM,06PM,08AM,06PM,,,,-122.333105102079998,47.618906686231398
54,"(47.608638976000066, -122.34285560899997)",545459,10202,109,10198,161,-17,PSL-B540,PSL,ELLIOTT AVE 0151 BLOCK NE SIDE ( 161) 161 FT NW/O PIKE NR ST (OV-15-26)                                                                                                                                                                                        ,161,B540,2540004,2540,MS1,Commercial Core,Waterfront,NE,GOOD,SDOT,INSVC,1344,86808,T-MOBILE,3G, ,DISPLAY,13238,DISTRICT7, ,N,,4,480,659,4.5,660,1019,4,1020,1199,4,480,659,4.5,660,1019,4,1020,1199,,,,,,,,,,08AM,08PM,08AM,08PM,,,,-122.342855610699999,47.6086389746091
