,8,9,10,11,12,13,14,15,16,17,18,19,Average Hourly
Monday,69.6,78.5,86.0,87.4,89.0,84.6,84.6,82.8,82.2,81.3,81.7,78.0,82.1416666667
Tuesday,70.6,85.9,90.8,91.9,91.5,90.2,89.6,87.1,85.7,84.3,84.7,86.1,86.5333333333
Wednesday,74.9,87.0,89.9,90.6,90.7,90.2,89.5,87.8,85.3,86.2,84.2,85.9,86.85
Thursday,70.2,83.6,90.0,91.1,89.2,90.2,88.9,88.1,86.6,85.4,84.3,86.0,86.1333333333
Friday,74.7,87.5,90.8,90.9,89.8,89.0,89.3,86.8,87.7,86.7,85.0,85.8,87.0
Saturday,67.6,77.0,81.2,83.2,86.6,85.1,84.7,85.8,85.7,85.9,85.1,85.2,82.7583333333
Average Hourly,71.2666666667,83.25,88.1166666667,89.1833333333,89.4666666667,88.2166666667,87.7666666667,86.4,85.5333333333,84.9666666667,84.1666666667,84.5,
