,mixture,mixture_dist,area,area_dist,dist,k_3,k_5,k_10
Moran I Over All Days and Times,0.330317154173,0.318088032768,0.0652185458948,0.0691154583787,-0.00149311584742,0.039102332421,0.0267764426169,0.0138150936015
Significant One Sided P Value Percentage Average Over All Days And Times,100.0,100.0,89.5018055556,89.9766666667,22.4591666667,10.0559722222,8.07611111111,7.07361111111
Significant Two Sided P Value Percentage Average Over All Days And Times,100.0,100.0,88.4245833333,88.4334722222,18.3334722222,7.57541666667,5.28708333333,4.34958333333
