,8,9,10,11,12,13,14,15,16,17,18,19,Average Daily
Monday,71.9,83.4,89.5,90.4,91.9,89.5,88.6,88.8,88.7,88.0,85.9,85.7,86.9
Tuesday,72.5,82.8,86.6,89.3,91.1,91.5,89.6,88.1,89.1,88.3,87.9,88.5,87.1
Wednesday,69.5,82.6,90.5,91.5,90.6,89.9,89.2,89.4,89.2,89.9,87.5,86.1,87.2
Thursday,70.5,85.4,92.4,91.5,90.5,90.3,90.0,88.6,89.4,89.5,87.9,88.5,87.9
Friday,75.4,84.3,88.5,90.5,89.8,89.7,89.9,90.4,88.6,88.7,88.1,88.9,87.7
Saturday,66.0,73.6,76.4,80.2,83.8,83.2,83.9,81.9,86.2,87.2,90.0,89.6,81.8
Average Hourly,71.0,82.0,87.3,88.9,89.6,89.0,88.5,87.9,88.5,88.6,87.9,87.9,
